price,condition,district,max_floor,street,num_rooms,region,area,num_bathrooms,building_type,floor,ceiling_height
90000.0,newly repaired,Center,5,Arshakunyats Ave,4,Yerevan,103.0,2,other,3,3.2
80000.0,good,Center,5,Charents St,2,Yerevan,60.0,1,stone,2,3.0
59000.0,good,Arabkir,10,Orbeli Yeghbayrner   St,3,Yerevan,79.0,1,panel,7,2.8
45000.0,good,Nor Norq,9,Davit Bek,3,Yerevan,81.0,1,panel,4,2.8
131000.0,newly repaired,Center,3,Tumanyan St,3,Yerevan,107.0,1,stone,3,3.2
135000.0,good,Center,16,Tsitsernakaberd Highway,3,Yerevan,100.0,2,other,7,2.8
90000.0,good,Arabkir,5,Komitas Ave,3,Yerevan,96.0,1,other,2,2.8
78500.0,newly repaired,Davtashen,11,Mikoyan St,2,Yerevan,78.0,1,monolit,5,3.0
62000.0,good,Achapnyak,5,Leningradyan St,2,Yerevan,65.0,1,stone,3,3.2
62000.0,newly repaired,Center,14,Argishti St,2,Yerevan,57.0,1,monolit,10,3.0
72000.0,newly repaired,Achapnyak,5,Leningradyan St,4,Yerevan,95.0,2,stone,3,3.2
120000.0,newly repaired,Center,3,Amiryan St,3,Yerevan,94.0,1,stone,3,3.0
100000.0,good,Center,5,Tigran Mets Ave,4,Yerevan,103.0,1,stone,5,2.8
43000.0,good,Malatia-Sebastia,9,Svachyan str,3,Yerevan,70.0,1,panel,7,2.8
44000.0,newly repaired,Avan,10,Tsarav Aghbyur St,2,Yerevan,52.0,1,monolit,6,3.0
32000.0,newly repaired,Nor Norq,4,Nansen St,2,Yerevan,58.0,1,panel,2,2.8
200000.0,newly repaired,Center,12,Sayat Nova Ave,3,Yerevan,100.0,1,panel,5,2.8
190000.0,good,Center,5,Abovyan St,4,Yerevan,128.0,1,other,4,2.8
55000.0,good,Qanaqer-Zeytun,16,Droi St,2,Yerevan,67.0,1,panel,4,2.8
99000.0,zero condition,Davtashen,14,Sasna tsrer St,3,Yerevan,114.0,1,monolit,11,2.8
48000.0,good,Arabkir,5,Artsruni St,3,Yerevan,54.0,1,stone,2,2.8
57000.0,newly repaired,Shengavit,5,Arshakunyats Ave,2,Yerevan,82.0,1,stone,2,3.2
135000.0,newly repaired,Center,5,Zakyan St,4,Yerevan,110.0,1,stone,2,2.8
58000.0,good,Center,13,M.Khorenatsi St,2,Yerevan,72.0,1,other,3,2.8
37000.0,newly repaired,Achapnyak,4,Halabyan St,2,Yerevan,50.0,1,stone,2,2.8
230000.0,newly repaired,Center,4,Mashtots Ave,3,Yerevan,110.0,2,stone,3,3.0
50000.0,good,Shengavit,3,Mayisi 9 St,3,Yerevan,85.0,1,stone,1,3.2
73000.0,newly repaired,Center,5,A.Petrosyan St,2,Yerevan,40.0,1,stone,2,3.2
310000.0,newly repaired,Center,5,Isahakyan St,4,Yerevan,140.0,2,stone,3,3.0
54000.0,newly repaired,Malatia-Sebastia,9,Z.Andranik St,3,Yerevan,76.0,1,panel,5,2.8
48000.0,good,Shengavit,9,Bagratuniats Ave,4,Yerevan,86.0,1,other,8,2.8
39000.0,newly repaired,Nor Norq,5,Lvovyan St,2,Yerevan,60.0,1,other,5,2.8
55000.0,good,Nor Norq,9,Gayi Ave,3,Yerevan,86.0,1,panel,5,2.8
115000.0,newly repaired,Arabkir,14,Gulakyan St,3,Yerevan,92.0,1,panel,11,2.8
40000.0,good,Malatia-Sebastia,9,Svachyan str,3,Yerevan,71.0,1,panel,8,2.8
42000.0,good,Center,5,Tigran Mets Ave,3,Yerevan,75.0,1,stone,5,3.0
182000.0,newly repaired,Center,5,Mashtots Ave,4,Yerevan,113.0,1,stone,4,3.2
90000.0,newly repaired,Davtashen,9,Davtashen 2 district,3,Yerevan,97.0,1,monolit,2,2.8
63000.0,good,Center,8,Moskovyan St,1,Yerevan,42.0,1,monolit,2,2.8
18500.0,good,Nor Norq,9,Norq 8 p,1,Yerevan,56.0,1,panel,6,2.8
96000.0,newly repaired,Arabkir,11,Hr.Kochar St,3,Yerevan,83.0,1,other,10,2.8
58000.0,good,Arabkir,11,Komitas Ave,2,Yerevan,63.0,1,monolit,7,3.0
78000.0,good,Nor Norq,5,Gyurjyan St,3,Yerevan,83.0,1,stone,4,2.8
32000.0,newly repaired,Shengavit,9,Shevchenko St,2,Yerevan,68.0,1,panel,9,2.8
84000.0,newly repaired,Arabkir,5,Vratsakan St,3,Yerevan,90.0,1,stone,4,2.8
93000.0,zero condition,Arabkir,16,A. Avetisyan St,4,Yerevan,120.0,2,panel,4,2.8
85000.0,good,Center,5,Vardanants St,3,Yerevan,105.0,1,stone,3,2.8
40000.0,newly repaired,Malatia-Sebastia,10,Raffi St,3,Yerevan,63.0,1,panel,6,2.8
45000.0,good,Avan,14,Charents disrtict,3,Yerevan,83.0,1,panel,11,2.8
138000.0,newly repaired,Center,6,Nalbandyan St,4,Yerevan,127.0,1,stone,5,2.8
87000.0,good,Arabkir,9,A. Khachatrian St,3,Yerevan,100.0,1,panel,9,2.8
83000.0,newly repaired,Center,5,Khanjyan St,3,Yerevan,75.0,1,stone,4,3.2
63000.0,newly repaired,Center,10,Tumanyan St,2,Yerevan,63.0,1,panel,7,2.8
145000.0,newly repaired,Center,7,Sayat Nova Ave,2,Yerevan,67.0,1,stone,2,2.8
71000.0,newly repaired,Center,5,D. Demirchyan St,2,Yerevan,54.0,1,stone,3,2.8
269000.0,newly repaired,Center,13,Amiryan St,3,Yerevan,149.0,1,monolit,4,3.0
63000.0,good,Arabkir,12,Gyulbenkyan St,3,Yerevan,93.0,2,other,7,2.8
47000.0,good,Nor Norq,9,Gayi Ave,3,Yerevan,77.0,1,panel,5,2.8
85000.0,zero condition,Center,10,Amiryan St,1,Yerevan,50.0,1,monolit,4,3.0
50000.0,newly repaired,Qanaqer-Zeytun,16,Kanaker 1 St,2,Yerevan,66.0,2,stone,9,3.0
52000.0,newly repaired,Center,14,Argishti St,2,Yerevan,55.0,1,monolit,12,3.2
64000.0,good,Center,4,Heratsi St,2,Yerevan,70.0,1,other,1,2.8
80000.0,good,Center,5,Charents St,3,Yerevan,86.0,1,stone,2,3.0
77000.0,newly repaired,Center,9,D. Demirchyan St,1,Yerevan,49.0,1,panel,7,2.8
41000.0,newly repaired,Arabkir,9,A. Khachatrian St,1,Yerevan,44.0,1,panel,1,2.8
160000.0,good,Center,5,Nalbandyan St,3,Yerevan,112.0,1,stone,2,2.8
38000.0,newly repaired,Qanaqer-Zeytun,13,Rubinyants St,2,Yerevan,50.0,1,panel,3,2.8
50000.0,zero condition,Arabkir,9,Adonts St,3,Yerevan,80.0,1,panel,1,2.8
90000.0,good,Center,5,Abovyan St,3,Yerevan,80.0,1,stone,4,2.8
29000.0,good,Nor Norq,5,Totovents St,3,Yerevan,65.0,1,other,5,2.8
95000.0,good,Center,15,D. Demirchyan St,4,Yerevan,85.0,1,panel,14,2.8
150000.0,newly repaired,Center,10,Saryan St,3,Yerevan,80.0,2,monolit,6,3.0
120000.0,newly repaired,Center,5,Baghramyan Ave (Kentron),3,Yerevan,100.0,1,stone,2,2.8
65000.0,newly repaired,Center,5,Vardanants St,1,Yerevan,36.0,1,stone,2,3.0
75000.0,good,Center,13,Argishti St,2,Yerevan,58.0,1,monolit,3,2.8
288000.0,zero condition,Center,14,Amiryan St,4,Yerevan,144.0,3,monolit,7,3.0
100000.0,newly repaired,Davtashen,1,Sasna tsrer St,2,Yerevan,72.0,2,monolit,1,3.2
54000.0,good,Arabkir,5,Sundukyan St,2,Yerevan,67.0,1,stone,5,2.8
65000.0,newly repaired,Nor Norq,4,Gyuliqevxyan St,3,Yerevan,82.0,1,stone,2,2.8
150000.0,newly repaired,Center,5,Tigran Mets Ave,3,Yerevan,88.0,1,stone,5,3.0
160000.0,newly repaired,Center,15,Mashtots Ave,1,Yerevan,70.0,1,monolit,4,3.0
54000.0,newly repaired,Erebuni,5,Atoyan st,3,Yerevan,77.0,1,stone,5,2.8
112000.0,newly repaired,Center,4,Charents St,3,Yerevan,112.0,1,stone,4,3.0
38800.0,good,Malatia-Sebastia,9,Oganov St,3,Yerevan,83.0,1,panel,6,2.8
52000.0,newly repaired,Center,12,Tsaturian St,3,Yerevan,67.0,1,panel,8,2.8
86000.0,newly repaired,Qanaqer-Zeytun,5,Sevak St,3,Yerevan,91.0,1,stone,4,3.0
122000.0,newly repaired,Davtashen,15,Sasna tsrer St,4,Yerevan,90.0,1,monolit,6,3.2
38800.0,good,Achapnyak,4,Margaryan St,3,Yerevan,74.0,1,stone,3,2.6
46000.0,good,Malatia-Sebastia,9,Gusan Sheram St,4,Yerevan,87.0,2,panel,5,2.8
145000.0,newly repaired,Arabkir,10,A. Avetisyan St,4,Yerevan,138.0,1,monolit,8,3.0
72000.0,newly repaired,Achapnyak,7,Norashen district,3,Yerevan,96.0,1,other,1,2.8
94000.0,newly repaired,Center,14,Argishti St,3,Yerevan,95.0,3,monolit,12,3.0
100000.0,newly repaired,Arabkir,10,Hr.Kochar St,4,Yerevan,105.0,2,panel,10,2.8
250000.0,newly repaired,Center,4,Mashtots Ave,3,Yerevan,135.0,1,stone,4,3.2
44000.0,good,Qanaqer-Zeytun,4,Davit Anhaxt St,2,Yerevan,54.0,1,stone,4,2.8
87000.0,good,Center,4,Vardanants St,3,Yerevan,105.0,1,stone,2,2.8
58000.0,good,Arabkir,7,Baghramyan av(Arabkir),2,Yerevan,72.0,1,panel,7,2.8
61000.0,zero condition,Arabkir,5,Kasyan St,3,Yerevan,86.0,1,stone,5,3.2
68000.0,newly repaired,Center,4,Mashtots Ave,1,Yerevan,31.0,1,stone,2,3.0
62000.0,newly repaired,Malatia-Sebastia,9,Gusan Sheram St,4,Yerevan,92.0,1,other,5,2.8
45000.0,newly repaired,Avan,10,Tsarav Aghbyur St,2,Yerevan,51.0,1,monolit,5,3.2
