Listing ID,Listing Name,Property Type,Room Type,Host ID,Host Name,Is Superhost,Latitude,Longitude,Max Guests,Bedrooms,Beds,Bathrooms,Is Instant Bookable,Cancellation Policy,Cleaning Fee,Extra Guest Fee,Number of Reviews,Overall Rating,Location Rating,Value Rating,TTM Avg Daily Rate,TTM Occupancy Rate,L90D Avg Daily Rate,L90D Occupancy Rate,Price Per Guest,City Category
12018017,1-BDR/City Centre/Historical/Self Check-in,entire rental unit,entire_home,511676899,My,TRUE,40.1829,44.5181,3,1,2,1,TRUE,moderate,25,0,35,4.91,4.9,4.8,52.2,0.003,58.3,0.004,17.400000000000002,Yerevan Area
12043699,PARK APARTMENT,entire rental unit,entire_home,43891362,Artak,FALSE,40.1911,44.5063,2,1,1,1,FALSE,strict,0,0,29,4.66,4.9,4.8,47.6,0.001,47.3,0,23.8,Yerevan Area
12102480,Apartment with best Cascade view,entire rental unit,entire_home,64891798,Levon,FALSE,40.1893,44.5154,4,3,3,1,TRUE,flexible,10,10,53,4.7,5,4.6,43.5,0,40.8,0.001,10.875,Yerevan Area
12108497,Comfy apartment in the city center,entire serviced apartment,entire_home,13861622,Gayane,TRUE,40.1776,44.5058,2,1,1,1,FALSE,moderate,20,0,127,4.96,4.9,4.9,32.2,0.008,34.9,0.009000000000000001,16.1,Yerevan Area
12127185,Modern Lux 2BR  w/Pool...Near Cascade,entire rental unit,entire_home,47208682,Ara,TRUE,40.1913,44.5026,6,2,3,2.5,FALSE,moderate,35,0,58,5,4.9,5,126.2,0.003,135.1,0.002,21.033333333333335,Yerevan Area
12343267,Private room in a cozy guesthouse N1:),private room in bed and breakfast,private_room,66340406,Zara,FALSE,40.1977,44.4969,NA,NA,1,0,NA,flexible,3,NA,23,4.39,4.4,4.5,13.7,0,11.2,0,13.7,Yerevan Area
12429034,2-bedroom Spacious Apt Downtown EVN,entire rental unit,entire_home,67229404,Anahit,FALSE,40.1787,44.5203,3,1,2,1,FALSE,moderate,30,0,25,5,5,5,131.3,0,205.3,0,43.76666666666667,Yerevan Area
12488176,Sunny house near Cascade with Ararat view,entire home,entire_home,67607832,Narine,TRUE,40.192,44.5177,6,2,4,1,FALSE,strict,0,0,30,4.63,4.8,4.7,37.4,0.004,40.4,0.004,6.233333333333333,Yerevan Area
12758332,1-BDR/Perfect Location/Downtown/Cozy,entire serviced apartment,entire_home,511676899,My,TRUE,40.1827,44.5167,4,1,2,1,TRUE,moderate,25,0,27,4.93,5,5,53.3,0.005,63.9,0.004,13.325,Yerevan Area
12794344,Superb 1 BD apartment in the heart of Yerevan,entire rental unit,entire_home,24178703,Peter,FALSE,40.1762,44.5114,2,1,1,1,FALSE,strict,40,10,22,5,5,4.9,65.9,0,61.8,0.001,32.95,Yerevan Area
12903117,"Explore Yerevan, Komitas 22",entire rental unit,entire_home,68267119,Armik,FALSE,40.2034,44.4998,4,1,2,1,FALSE,moderate,0,0,10,4.8,4.9,4.5,47.9,0,46.4,0.001,11.975,Other Armenia
12936989,Apartament Tigran Petrosyan 39/5,entire rental unit,entire_home,71056424,Karen,FALSE,40.2242,44.5041,3,NA,1,1,TRUE,flexible,0,0,1,NA,NA,NA,50.4,0,50.5,0,16.8,Other Armenia
12937541,Apartament Tigran Petrosyan 39/5,entire guesthouse,entire_home,71056424,Karen,FALSE,40.2232,44.5056,4,1,7,1,TRUE,flexible,0,0,1,NA,NA,NA,38.5,0,35.8,0,9.625,Other Armenia
12976778,sunny room with a balcony in the heart of the city,private room in rental unit,private_room,50908779,Shoghik,TRUE,40.1701,44.5145,NA,NA,1,0,TRUE,moderate,5,14,155,4.91,4.9,4.8,29,0.002,31.8,0.002,29,Yerevan Area
13121176,Mini Hotel,entire rental unit,entire_home,71056424,Karen,FALSE,40.2231,44.5048,3,1,9,1,TRUE,strict,0,0,1,NA,NA,NA,50.3,0,50.4,0,16.766666666666666,Other Armenia
13325847,Metro apartment,entire rental unit,entire_home,40833948,Elena,TRUE,40.1997,44.4991,4,1,1,1,FALSE,strict,0,0,106,4.92,4.8,4.8,45,0.004,52.2,0.004,11.25,Yerevan Area
13631391,2-BDR/Abovyan str/Downtown/Modern,entire serviced apartment,entire_home,511676899,My,TRUE,40.1882,44.5235,6,2,4,1,TRUE,moderate,30,0,44,4.82,4.9,4.8,77.3,0.003,86.8,0.001,12.883333333333333,Yerevan Area
13746627,Yerevan Central Sunny Apartment Self Check-in 24/7,entire rental unit,entire_home,80506026,Manushak,TRUE,40.1827,44.5208,2,1,1,1,FALSE,moderate,17,0,48,4.98,4.9,4.9,68.5,0.003,58.4,0.003,34.25,Yerevan Area
13832957,Apartment for Rent in Yerevan,entire rental unit,entire_home,5645292,Aram,FALSE,40.1779,44.5247,2,1,1,1,FALSE,strict,0,0,5,4.6,5,4,34.3,0,32.6,0,17.15,Yerevan Area
13836688,Nice apartment at Republic Square. New building!,entire rental unit,entire_home,29942157,Arsen,FALSE,40.18,44.5152,4,2,3,1,FALSE,strict,0,0,116,4.92,5,4.9,95.2,0,98.3,0.001,23.8,Yerevan Area
14018876,Bunglow with a garden view :),private room in bed and breakfast,private_room,66340406,Zara,FALSE,40.198,44.4974,NA,NA,1,0,NA,flexible,2,NA,21,4.48,4.5,4.7,12.8,0,10.5,0,12.8,Yerevan Area
14118707,Cosy Apartment on the Republic Square,entire rental unit,entire_home,85099194,Arevhat,FALSE,40.1759,44.5107,3,2,1,1,FALSE,strict,0,0,24,4.83,5,4.6,38,0.006,42.4,0.006999999999999999,12.666666666666666,Yerevan Area
14140135,"Center of Yerevan, 5 min away from Opera",entire rental unit,entire_home,18880692,Anna,FALSE,40.1822,44.5202,3,1,2,1.5,FALSE,flexible,28,0,26,4.85,4.9,4.9,46.8,0.001,39.7,0,15.6,Yerevan Area
14164123,Nice Apt. at the Republic Square,entire rental unit,entire_home,85099194,Arevhat,FALSE,40.1779,44.5138,3,1,1,1,FALSE,strict,0,0,21,5,5,5,40.6,0.005,41.6,0.006999999999999999,13.533333333333333,Yerevan Area
14216625,Luxury Apt. in a New Build. at the Republic Square,entire rental unit,entire_home,85099194,Arevhat,FALSE,40.1784,44.5143,5,2,2,1,FALSE,strict,0,0,2,NA,NA,NA,60.5,0,64,0.001,12.1,Yerevan Area
14223474,Cozy apt at the heart of Yerevan,entire rental unit,entire_home,49922485,Tigran,FALSE,40.1826,44.5096,4,1,2,1,FALSE,moderate,10,0,62,4.74,5,4.7,45.7,0.003,51.1,0.001,11.425,Yerevan Area
14263205,Luxury 2 Bedroom Apt. at the Republic Square,entire rental unit,entire_home,85099194,Arevhat,FALSE,40.1783,44.5141,5,2,2,1,FALSE,strict,0,0,5,5,5,5,56.3,0.002,57.9,0.001,11.26,Yerevan Area
14263606,Posh 2 Bedroom Apt. at the Republic Square,entire rental unit,entire_home,85099194,Arevhat,FALSE,40.1785,44.5142,4,2,3,1,FALSE,strict,0,0,5,4.8,5,5,60.3,0,61,0.001,15.075,Yerevan Area
14355206,HOLIDAY,entire home,entire_home,86984880,Zaven,FALSE,40.1547,44.5153,9,4,4,2.5,FALSE,flexible,0,0,3,4.33,4.3,4.3,110.2,0.001,0,0,12.244444444444445,Yerevan Area
14521957,15min to center-Sunny House-extremely low price,entire rental unit,entire_home,89739990,Ani,FALSE,40.2039,44.5219,3,1,3,1,TRUE,moderate,15,0,60,4.87,4.7,4.8,32.6,0.002,34.2,0,10.866666666666667,Other Armenia
14719183,3 bedroom apartment 140 sqm on the 4th floor,entire rental unit,entire_home,76161999,George,FALSE,40.1803,44.5063,6,3,4,1,FALSE,flexible,0,0,22,4.73,4.9,4.7,92,0.003,95.2,0.002,15.333333333333334,Yerevan Area
14757932,One-bedroom Apt. on the Republic Square,entire rental unit,entire_home,85099194,Arevhat,FALSE,40.1803,44.5081,3,1,1,1,FALSE,strict,0,0,2,NA,NA,NA,45.1,0.001,45,0.001,15.033333333333333,Yerevan Area
14869723,Apt. on the Republic Square with a View on Ararat,entire rental unit,entire_home,85099194,Arevhat,FALSE,40.1808,44.5083,3,1,1,1,FALSE,strict,0,0,30,4.83,4.8,4.8,38.3,0.003,41.6,0.004,12.766666666666666,Yerevan Area
14881166,"Spacious, bright 2-room apartment in the center",entire rental unit,entire_home,93281409,Armen,FALSE,40.1787,44.5187,4,2,4,1.5,FALSE,flexible,0,0,19,4.68,4.9,4.7,56.8,0.002,61.1,0.006999999999999999,14.2,Yerevan Area
15177004,Beautiful sunny home,entire rental unit,entire_home,96326033,Sirun,FALSE,40.2,44.5601,6,2,3,1.5,FALSE,firm,35,0,37,5,4.9,4.9,40.6,0.001,43.1,0.001,6.766666666666667,Yerevan Area
15235876,"City Center. Nice, clean and  quiet  Apartment",entire rental unit,entire_home,96858399,Diana,FALSE,40.1804,44.5056,5,2,4,1,FALSE,moderate,30,0,16,5,5,5,58,0.001,64.2,0,11.6,Yerevan Area
15696032,"Rent in Yerevan, rent in Yerevan city center",entire rental unit,entire_home,101330268,Paruyr,FALSE,40.1805,44.522,3,1,1,1,FALSE,firm,0,0,6,5,5,5,94.2,0,87.1,0.001,31.400000000000002,Yerevan Area
15856065,Cosy flat in the centre of Yerevan,entire rental unit,entire_home,102750771,Sona,FALSE,40.182,44.52,2,1,1,1,FALSE,moderate,0,0,49,4.88,4.9,4.7,41.8,0.001,38.7,0,20.9,Yerevan Area
15878898,Studio Apartment in Alley Residence,entire serviced apartment,entire_home,61222356,Hyur Service,TRUE,40.1816,44.5111,2,1,2,1,TRUE,moderate,0,0,28,4.89,5,4.8,70.4,0.004,66.4,0.006,35.2,Yerevan Area
15879395,Studio Apartment in Alley Residence,entire serviced apartment,entire_home,61222356,Hyur Service,TRUE,40.1815,44.5111,2,1,2,1,TRUE,moderate,0,0,46,4.87,5,4.8,71.8,0.005,74.5,0.003,35.9,Yerevan Area
