Date,Year,Month,Company,Position,Position_Standardized,Salary_AMD,Experience_Years,Experience_Level,Salary_Category
2020-01-09T09:43:15Z,2020,1,Seattle Company Branch,Development Lead,Project Manager,3300000,8,Senior (5-10 years),Above 2M
2020-01-09T13:35:40Z,2020,1,Not Specified,Software Engineer,Software Engineer/Developer,680000,2,Junior (0-2 years),500K-1M
2020-01-10T13:26:18Z,2020,1,Not Specified,Product Manager,Product Manager/Owner,800000,4,Mid-Level (2-5 years),500K-1M
2020-01-10T22:28:37Z,2020,1,Start-up,Junior React.js Developer,Software Engineer/Developer,300000,1,Junior (0-2 years),200K-500K
2020-01-11T13:15:52Z,2020,1,Topsoft Solutions,.NET Developer,Software Engineer/Developer,120000,2,Junior (0-2 years),Under 200K
2020-01-11T13:16:45Z,2020,1,BetConstruct,.NET Developer,Software Engineer/Developer,400000,2,Junior (0-2 years),200K-500K
2020-01-13T16:05:50Z,2020,1,Not Specified,Wordpress Developer,Software Engineer/Developer,550000,4,Mid-Level (2-5 years),500K-1M
2020-01-17T17:34:37Z,2020,1,EPAM Systems,Senior Frontend engineer,Frontend Developer,1300000,10,Senior (5-10 years),1M-2M
2020-01-25T19:33:15Z,2020,1,Not Specified,C/C++ Developer,Software Engineer/Developer,300000,2,Junior (0-2 years),200K-500K
2020-01-30T22:56:21Z,2020,1,Bluenet Armenia,.NET engineer,Other,1450000,4,Mid-Level (2-5 years),1M-2M
2020-01-30T23:11:48Z,2020,1,Not Specified,FrontEnd developer,Software Engineer/Developer,300000,1.5,Junior (0-2 years),200K-500K
2020-01-31T00:33:09Z,2020,1,IT company :),Chief Accountant,Other,300000,7,Senior (5-10 years),200K-500K
2020-01-31T01:28:22Z,2020,1,Bet,PHP Developer,Software Engineer/Developer,800000,5,Mid-Level (2-5 years),500K-1M
2020-01-31T11:13:07Z,2020,1,BetConstruct,Mid level .Net software engineer,Software Engineer/Developer,500000,3,Mid-Level (2-5 years),500K-1M
2020-01-31T11:16:36Z,2020,1,Evocabank,Software developer,Software Engineer/Developer,450000,4,Mid-Level (2-5 years),200K-500K
2020-01-31T21:21:18Z,2020,1,Remote,React dev,Other,1900000,6,Senior (5-10 years),1M-2M
2020-02-01T14:09:26Z,2020,2,Not Specified,Administrative Manager,Other,160000,2,Junior (0-2 years),Under 200K
2020-02-01T18:06:07Z,2020,2,BetConstruct,SoftWare Engineer,Software Engineer/Developer,142000,0.5,Junior (0-2 years),Under 200K
2020-02-01T21:37:36Z,2020,2,EGS,Senior Software Developer,Software Engineer/Developer,1200000,11,Expert (10+ years),1M-2M
2020-02-04T22:40:58Z,2020,2,Not Specified,Product Designer,UI/UX Designer,1200000,9,Senior (5-10 years),1M-2M
2020-02-09T15:16:00Z,2020,2,Not Specified,Senior iOS developer,Software Engineer/Developer,1200000,6,Senior (5-10 years),1M-2M
2020-02-09T16:49:03Z,2020,2,HelpSystems,Senior Software Engineer,Software Engineer/Developer,1500000,4,Mid-Level (2-5 years),1M-2M
2020-02-19T12:03:40Z,2020,2,KSPE,Developer,Software Engineer/Developer,200000,1.5,Junior (0-2 years),200K-500K
2020-02-20T16:09:11Z,2020,2,Ucom,Technical Support,Other,180000,2,Junior (0-2 years),Under 200K
2020-02-20T22:54:22Z,2020,2,Not Specified,IT Support Assistant,Other,250000,1,Junior (0-2 years),200K-500K
2020-02-22T11:50:49Z,2020,2,Mentor Graphics,Software Engineer,Software Engineer/Developer,480000,2.5,Mid-Level (2-5 years),200K-500K
2020-02-22T11:51:15Z,2020,2,Mentor Graphics,Software Engineer,Software Engineer/Developer,630000,3.5,Mid-Level (2-5 years),500K-1M
2020-02-22T11:51:42Z,2020,2,Synopsys,Software Engineer 2,Software Engineer/Developer,420000,2,Junior (0-2 years),200K-500K
